BOTTLE,20020814WHPOSA
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: Aug. 14, 2002
#original HYD file: i08shy.txt   Wed Aug 14 15:04:34 2002
#original SUM file: i08ssu.txt   Wed Jun 16 11:13:01 1999
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,LCAT,LCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC14,DELC14_FLAG_W,DELC13,DELC13_FLAG_W,NEON,NEON_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,ALKALI,ALKALI_FLAG_W,CTDRAW,C14ERR,HELIER,DELHER,NEONER,THETA
,,,,,,,,,,,,DBAR,IPTS-68,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,UMOL/KG,,PERCNT,,/MILLE,,/MILLE,,NMOL/KG,,UMOL/KG,,UATM,,UMOL/KG,,,/MILLE,NMOL/KG,PERCNT,NMOL/KG,IPTS-68
     316N145_5,  I08S,     4,  1,      6, 031,2,19941205,0313,-30.3000,  94.9945, 1945,   1817.6,   2.8251,  34.6599,1,  34.6602,2,    151.7,1,    152.3,2,    92.16,2,    33.63,2,     0.00,2,     2.41,2,    0.001,3,    0.006,2, -999.000,5,-999.0000,5,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   2274.0,2,   -999.0,5,   2373.4,2,18122.5,  -999.0,-999.0000,-999.000,-999.000,  2.6922
     316N145_5,  I08S,     4,  1,      5, 032,2,19941205,0313,-30.3000,  94.9945, 1945,   1820.0,   2.8238,  34.6585,1,  34.6620,2,    151.8,1,    152.2,2,    92.00,2,    33.57,2,     0.00,2,     2.42,2, -999.000,1, -999.000,1, -999.000,5,   1.9570,5,    10.98,2,   -168.6,2,      0.3,2,   8.290,2,   2273.5,2,   -999.0,5,   2362.5,2,18146.8,     2.7,  0.0020,   0.120,   0.029,  2.6907
     316N145_5,  I08S,     4,  1,      4, 033,2,19941205,0313,-30.3000,  94.9945, 1945,   1917.9,   2.4735,  34.7013,1,  34.7019,2,    156.9,1,    159.0,2,   100.04,2,    33.01,2,     0.00,2,     2.38,2,    0.013,3,    0.016,3, -999.000,5,-999.0000,5,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   2375.9,2,19119.8,  -999.0,-999.0000,-999.000,-999.000,  2.3367
     316N145_5,  I08S,     4,  1,      3, 037,2,19941205,0313,-30.3000,  94.9945, 1945,   1917.9,   2.4736,  34.7014,1,  34.7062,2,    156.9,1,    159.7,2,   100.91,2,    32.89,2,     0.00,2,     2.38,2, -999.000,1, -999.000,1, -999.000,5,   1.9750,5,    10.84,2,   -170.6,2,      0.4,2,   8.276,2,   2277.7,6,   -999.0,5,   2375.3,2,19120.2,     2.8,  0.0020,   0.120,   0.025,  2.3369
     316N145_5,  I08S,     4,  1,      1, 036,3,19941205,0313,-30.3000,  94.9945, 1945,   1937.0,   2.4353,  34.7053,1,  34.7062,2,    157.3,1,    160.2,2,   100.44,2,    32.84,2,     0.00,2,     2.37,2,    0.006,2,    0.005,2, -999.000,5,   1.9000,5,    12.73,2,   -176.7,2,      0.3,2,   8.114,2,   2278.4,6,   -999.0,5,   2390.7,2,19309.0,     2.3,  0.0020,   0.120,   0.045,  2.2975
     316N145_5,  I08S,     4,  1,      2, 035,2,19941205,0313,-30.3000,  94.9945, 1945,   1938.0,   2.4380,  34.7049,1,  34.7048,2,    157.4,1,    159.8,2,   100.91,2,    32.84,2,     0.00,2,     2.37,2,    0.026,3,    0.012,3, -999.000,5,-999.0000,5,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   2275.8,2,   -999.0,5,   2382.3,2,19319.6,  -999.0,-999.0000,-999.000,-999.000,  2.3000
     316N145_5,  I08S,     5,  1,     21, 016,2,19941206,1300,-31.3000,  95.0028, 1465,    154.0,  13.3162,  35.2933,1,  35.2917,2,    233.9,1,    237.4,2,     1.75,2,     5.52,2,     0.04,2,     0.56,2,    3.266,2,    1.608,2, -999.000,5,-999.0000,5,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   2087.3,6,   -999.0,5,   2318.1,2, 1581.0,  -999.0,-999.0000,-999.000,-999.000, 13.2946
     316N145_5,  I08S,     5,  1,     20, 017,2,19941206,1300,-31.3000,  95.0028, 1465,    204.9,  12.8484,  35.2431,1,  35.2434,2,    229.7,1,    233.3,2,     2.13,2,     6.97,2,     0.01,2,     0.64,2,    3.253,2,    1.604,2, -999.000,5,-999.0000,5,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   2095.1,2,   -999.0,5,   2313.1,2, 2087.6,  -999.0,-999.0000,-999.000,-999.000, 12.8203
     316N145_5,  I08S,     5,  1,     19, 018,2,19941206,1300,-31.3000,  95.0028, 1465,    254.4,  12.0723,  35.1109,1,  35.1126,2,    235.7,1,    238.0,2,     2.86,2,     8.68,2,     0.01,2,     0.75,2,    3.362,2,    1.614,2, -999.000,5,-999.0000,5,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   2098.3,2,   -999.0,5,   2305.6,2, 2580.2,  -999.0,-999.0000,-999.000,-999.000, 12.0389
     316N145_5,  I08S,     5,  1,     18, 019,2,19941206,1300,-31.3000,  95.0028, 1465,    304.5,  11.7059,  35.0521,1,  35.0553,2,    241.9,1,    239.8,2,     3.24,2,     9.36,2,     0.01,2,     0.79,2, -999.000,9, -999.000,1, -999.000,5,-999.0000,5,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   2099.0,2,   -999.0,5,   -999.0,9, 3077.8,  -999.0,-999.0000,-999.000,-999.000, 11.6666
