BOTTLE,20061130WHPSIODBK
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: 20061129
#original HYD file: a21hy.txt   Thu Nov 30 10:52:18 2006
#original SUM file: a21su.txt   Thu Nov 30 10:48:33 2006
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,THETA,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,NEON,NEON_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,HELIER,TRITER,NEONER,DELHER
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,ITS-90,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,PERCNT,,NMOL/KG,,UMOL/KG,,UATM,,NMOL/KG,TU,NMOL/KG,PERCNT
      06MT11_5,   A21,   103,  1,      8,   -999,2,19900124,1232,-56.9167, -68.2500, 3090,   2249.7,   2.0896,  34.6718,2,  34.6690,2,   -999.0,9,  1.9301,    164.8,2,   103.96,2,    34.44,2,     0.00,2,     2.43,2,    0.004,2,    0.027,3, -999.000,5,   1.8961,2,    18.80,2,   8.088,2,   2275.6,2,   -999.0,5,  0.0038,-999.000,   0.023,   0.200
      06MT11_5,   A21,   103,  1,      7,   -999,2,19900124,1232,-56.9167, -68.2500, 3090,   2500.3,   1.9867,  34.6906,2,  34.6900,2,   -999.0,9,  1.8065,    171.4,2,   106.05,2,    33.90,2,     0.00,2,     2.43,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   2270.5,2,   -999.0,5,-999.0000,-999.000,-999.000,-999.000
      06MT11_5,   A21,   103,  1,      6,   -999,2,19900124,1232,-56.9167, -68.2500, 3090,   2748.4,   1.8689,  34.6968,2,-999.0000,5,   -999.0,9,  1.6680,   -999.0,5,  -999.00,5,  -999.00,5,  -999.00,5,  -999.00,5,   -0.001,2,    0.009,2, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   2277.4,2,   -999.0,5,-999.0000,-999.000,-999.000,-999.000
      06MT11_5,   A21,   103,  1,      4,   -999,2,19900124,1232,-56.9167, -68.2500, 3090,   2748.7,   1.8679,  34.6978,2,-999.0000,5,   -999.0,9,  1.6669,   -999.0,5,  -999.00,5,  -999.00,5,  -999.00,5,  -999.00,5,   -0.001,2,    0.004,2, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   2275.5,2,   -999.0,5,-999.0000,-999.000,-999.000,-999.000
      06MT11_5,   A21,   103,  1,      5,   -999,2,19900124,1232,-56.9167, -68.2500, 3090,   2750.3,   1.8669,  34.6981,2,  34.6960,2,   -999.0,9,  1.6658,    168.4,2,   111.76,2,    33.92,2,     0.00,2,     2.38,2, -999.000,9, -999.000,9,    0.009,6,   1.9305,2,    19.10,2,-999.000,5,   -999.0,5,   -999.0,5,  0.0039,   0.012,-999.000,   0.200
      06MT11_5,   A21,   103,  1,      2,   -999,2,19900124,1232,-56.9167, -68.2500, 3090,   3065.6,   1.8579,  34.7079,2,  34.7060,2,   -999.0,9,  1.6267,    178.8,2,   108.30,2,    33.42,2,     0.00,2,     2.38,2,    0.002,2,    0.008,2,    0.007,6,   1.8698,2,    16.30,2,   8.014,2,   2270.3,2,   -999.0,5,  0.0037,   0.011,   0.022,   0.200
      06MT11_5,   A21,   103,  1,      3,   -999,2,19900124,1232,-56.9167, -68.2500, 3090,   3067.3,   1.8579,  34.7083,2,-999.0000,5,   -999.0,9,  1.6265,   -999.0,5,  -999.00,5,  -999.00,5,  -999.00,5,  -999.00,5,    0.003,2,    0.014,3, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   2267.7,2,   -999.0,5,-999.0000,-999.000,-999.000,-999.000
      06MT11_5,   A21,   103,  1,      1,   -999,2,19900124,1232,-56.9167, -68.2500, 3090,   3067.4,   1.8569,  34.7082,2,-999.0000,5,   -999.0,9,  1.6255,   -999.0,5,  -999.00,5,  -999.00,5,  -999.00,5,  -999.00,5, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   2271.5,2,   -999.0,5,-999.0000,-999.000,-999.000,-999.000
      06MT11_5,   A21,   104,  1,     24,   -999,2,19900124,1900,-57.3300, -68.2500, 4390,      5.9,   8.7314,  34.0005,2,  34.0030,2,   -999.0,9,  8.7307,    298.2,2,     1.29,2,    14.12,2,     0.25,2,     1.04,2, -999.000,9, -999.000,9,    0.288,2,   1.7257,2,    -1.60,2,   7.357,2,   2058.9,2,   -999.0,5,  0.0035,   0.014,   0.021,   0.200
      06MT11_5,   A21,   104,  1,     23,   -999,2,19900124,1900,-57.3300, -68.2500, 4390,     49.9,   7.3068,  33.9982,2,  34.0010,2,   -999.0,9,  7.3021,    292.5,2,     2.49,2,    16.35,2,     0.32,2,     1.26,2, -999.000,9, -999.000,9,    0.181,2,   1.7320,2,    -1.70,2,-999.000,5,   2081.5,2,   -999.0,5,  0.0035,   0.008,-999.000,   0.200
      06MT11_5,   A21,   104,  1,     22,   -999,2,19900124,1900,-57.3300, -68.2500, 4390,     95.2,   6.0051,  34.0628,2,  34.0660,2,   -999.0,9,  5.9971,    291.4,2,     5.78,2,    20.41,2,     0.18,2,     1.44,2,    4.116,2,    1.926,2, -999.000,9,-999.0000,5,  -999.00,5,-999.000,5,   2103.1,2,   -999.0,5,-999.0000,-999.000,-999.000,-999.000
      06MT11_5,   A21,   104,  1,     21,   -999,2,19900124,1900,-57.3300, -68.2500, 4390,    193.4,   5.4747,  34.1558,2,  34.1560,2,   -999.0,9,  5.4591,    289.3,2,     7.22,2,    21.56,2,     0.01,2,     1.51,2,    4.027,2,    1.891,2, -999.000,9,-999.0000,4,  -999.00,5,-999.000,9,   2112.9,2,   -999.0,5,-999.0000,-999.000,-999.000,-999.000
      06MT11_5,   A21,   104,  1,     20,   -999,2,19900124,1900,-57.3300, -68.2500, 4390,    292.7,   5.2859,  34.1989,2,  34.2000,2,   -999.0,9,  5.2625,    284.3,2,     8.41,2,    22.04,2,     0.01,2,     1.58,2,    3.704,2,    1.731,2,    0.225,2,-999.0000,9,  -999.00,9,-999.000,9,   2120.2,2,   -999.0,5,-999.0000,   0.007,-999.000,-999.000
      06MT11_5,   A21,   104,  1,     19,   -999,2,19900124,1900,-57.3300, -68.2500, 4390,    391.8,   5.1031,  34.2052,2,  34.2030,2,   -999.0,9,  5.0721,    296.6,2,     8.59,2,    21.89,2,     0.01,2,     1.55,2, -999.000,9, -999.000,9,    0.250,2,-999.0000,5,  -999.00,5,-999.000,5,   2116.3,2,   -999.0,5,-999.0000,   0.008,-999.000,-999.000
      06MT11_5,   A21,   104,  1,     18,   -999,2,19900124,1900,-57.3300, -68.2500, 4390,    491.9,   5.0052,  34.2130,2,  34.2130,2,   -999.0,9,  4.9663,    288.1,2,     8.52,2,    21.82,2,     0.01,2,     1.55,2,    2.788,3,    1.312,3,    0.195,2,   1.7824,2,    -1.10,2,   7.653,2,   2126.9,2,   -999.0,5,  0.0036,   0.006,   0.021,   0.200
