BOTTLE,20030520WHPSIOSA
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: May 20, 2003
#original HYD file: a09hy.txt   Tue May 20 10:08:58 2003
#original SUM file: a09su.txt   Fri Nov  3 15:46:48 2000
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC14,DELC14_FLAG_W,NEON,NEON_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,ALKALI,ALKALI_FLAG_W,C14ERR,HELIER,DELHER,NEONER,THETA,TRITER
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,PERCNT,,/MILLE,,NMOL/KG,,UMOL/KG,,UATM,,UMOL/KG,,,NMOL/KG,PERCNT,NMOL/KG,ITS-90,TU
      06MT15_3,   A09,   122,  2,      9,    214,2,19910211,1339,-19.0050, -37.4300, 3509,    597.0,   7.2829,  34.5432,2,-999.0000,9,   -999.0,9,    188.5,2,    16.93,2,    25.84,2,  -999.00,9,     1.80,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,  7.2245,-999.000
      06MT15_3,   A09,   122,  2,     10,    213,2,19910211,1339,-19.0050, -37.4300, 3509,    697.0,   5.5883,  34.4195,2,-999.0000,9,    193.6,2,    191.0,2,    24.37,2,    29.36,2,  -999.00,9,     2.04,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,  5.5287,-999.000
      06MT15_3,   A09,   122,  2,     11,    212,2,19910211,1339,-19.0050, -37.4300, 3509,    797.0,   4.5960,  34.3752,2,-999.0000,9,   -999.0,9,    195.9,2,    31.52,2,    31.03,2,  -999.00,9,     2.15,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,  4.5334,-999.000
      06MT15_3,   A09,   122,  2,     12,    211,2,19910211,1339,-19.0050, -37.4300, 3509,    897.0,   4.0518,  34.3810,2,-999.0000,9,    198.5,2,    193.7,2,    37.69,2,    31.81,2,  -999.00,9,     2.22,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,  3.9845,-999.000
      06MT15_3,   A09,   122,  2,     13,    209,2,19910211,1339,-19.0050, -37.4300, 3509,   1196.0,   3.7487,  34.5560,2,-999.0000,9,   -999.0,9,    184.9,2,    41.50,2,    31.52,2,  -999.00,9,     2.11,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,  3.6587,-999.000
      06MT15_3,   A09,   122,  2,     14,    208,2,19910211,1339,-19.0050, -37.4300, 3509,   1396.0,   4.0718,  34.7383,2,-999.0000,9,    193.3,2,    190.4,2,    32.69,2,    28.38,2,  -999.00,9,     1.92,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,  3.9608,-999.000
      06MT15_3,   A09,   122,  2,     15,    207,2,19910211,1339,-19.0050, -37.4300, 3509,   1597.0,   4.2557,  34.9065,2,-999.0000,9,   -999.0,9,    215.0,2,    22.50,2,    23.78,2,  -999.00,9,     1.59,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,  4.1237,-999.000
      06MT15_3,   A09,   122,  2,     16,    206,2,19910211,1339,-19.0050, -37.4300, 3509,   1797.0,   4.0214,  34.9708,2,-999.0000,9,    240.5,2,    240.5,2,    18.69,2,    20.45,2,  -999.00,9,     1.50,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,  3.8732,-999.000
      06MT15_3,   A09,   122,  2,     17,    203,2,19910211,1339,-19.0050, -37.4300, 3509,   2500.0,   2.9268,  34.9279,2,-999.0000,9,   -999.0,9,    250.9,2,    30.92,2,    20.55,2,  -999.00,9,     1.41,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,  2.7283,-999.000
      06MT15_3,   A09,   122,  2,     18,    202,2,19910211,1339,-19.0050, -37.4300, 3509,   2750.0,   2.7822,  34.9218,2,-999.0000,9,    252.3,2,    252.0,2,    32.29,2,    20.45,2,  -999.00,9,     1.42,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,  2.5617,-999.000
