EXPOCODE,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,AMMONI,AMMONI_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,DOC,DOCE,DOC_FLAG_W,POC,POC_FLAG_W,PON,PON_FLAG_W,THETA
,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PPM,,DEG C,UMOL/KG,UMOL/KG,,ug/kg,,ug/kg,,DEG C
  320619970113,     1,  2,     11,2,19970113,0000,-76.5006, 168.9990,  732,     10.0,   0.5370,  34.2240,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.5366
  320619970113,     1,  2,      8,2,19970113,0000,-76.5006, 168.9990,  732,     10.0,   0.5250,  34.2240,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.5246
  320619970113,     1, 10,     21,2,19970113,0000,-76.5006, 168.9990,  732,     10.1,   0.5000,  34.2870,2,    412.6,2,    51.09,2,     9.42,2,     0.12,2,     0.68,2,      0.2,2,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.4996
  320619970113,     1,  2,     20,2,19970113,0000,-76.5006, 168.9990,  732,     10.1,   0.5500,  34.2250,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.5496
  320619970113,     1,  4,     21,2,19970113,0000,-76.5006, 168.9990,  732,     10.4,   0.4740,  34.2420,2,    413.7,2,    50.70,2,     9.31,2,     0.13,2,     0.66,2,     0.19,2,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.4736
  320619970113,     1,  5,     17,2,19970113,0000,-76.5006, 168.9990,  732,     13.9,   0.5160,  34.2450,2,   -999.0,9,    52.75,2,     8.68,2,     0.12,2,     0.67,2,     0.29,2,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.5155
  320619970113,     1,  5,     18,2,19970113,0000,-76.5006, 168.9990,  732,     14.0,   0.4860,  34.2530,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.4855
  320619970113,     1,  5,     16,2,19970113,0000,-76.5006, 168.9990,  732,     14.2,   0.5590,  34.2450,2,    413.5,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,    42.23,2,     7.22,2,   0.5584
  320619970113,     1,  8,     21,2,19970113,0000,-76.5006, 168.9990,  732,     14.8,   0.3390,  34.4020,2,    414.8,2,    59.29,2,    12.45,2,     0.09,2,     1.00,2,     0.55,2,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.3384
  320619970113,     1,  7,     20,2,19970113,0000,-76.5006, 168.9990,  732,     15.0,   0.6930,  34.2990,2,    414.0,2,    52.85,2,     9.15,2,     0.10,2,     0.69,2,     0.18,2,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.6924
  320619970113,     1,  4,     20,2,19970113,0000,-76.5006, 168.9990,  732,     15.1,   0.4350,  34.2830,2,    417.9,2,    52.85,2,     9.68,2,     0.12,2,     0.71,2,     0.23,2,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.4344
  320619970113,     1, 10,     20,2,19970113,0000,-76.5006, 168.9990,  732,     15.2,   0.4520,  34.3400,2,    410.4,2,    54.60,2,    11.17,2,     0.10,2,     0.84,2,     0.36,2,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.4514
  320619970113,     1,  1,     21,2,19970113,0000,-76.5006, 168.9990,  732,     15.3,   0.5770,  34.2600,2,    409.7,2,    53.83,2,     8.75,2,     0.12,2,     0.71,2,     0.22,2,   2072.3,2,    204.3,2,        4,     43.6,      1.2,2,    37.56,2,      5.9,2,   0.5764
  320619970113,     1,  5,     13,2,19970113,0000,-76.5006, 168.9990,  732,     19.0,   0.5530,  34.3200,2,    414.9,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,    44.25,2,     7.81,2,   0.5523
  320619970113,     1,  5,     15,2,19970113,0000,-76.5006, 168.9990,  732,     19.1,   0.5660,  34.3270,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.5652
  320619970113,     1,  5,     14,2,19970113,0000,-76.5006, 168.9990,  732,     19.2,   0.5670,  34.3280,2,   -999.0,9,    54.61,2,     9.11,2,     0.11,2,     0.75,2,     0.32,2,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.5662
