EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2TMP,PCO2_FLAG_W,TRITUM,TRITER,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHER,DELHE3_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,C14ERR,DELC14_FLAG_W,THETA
,,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,PPM,DEGC,,TU,TU,,NMOL/KG,,PERCNT,PERCNT,,O/OO,,O/OO,O/OO,,DEGC
  58JH19940723,  AR18,   578,  2,      1,    101,2,19940726, 66.1660,  -2.6040, 3427,    299.6,   2.8290,  34.9456,2,  34.9482,2,    308.6,2,     5.68,2,    12.55,2,     0.01,2,     0.93,2, -999.000,9, -999.000,9, -999.000,5, -999.000,9,   -999.0,9,   -999.0,     2.8105,9, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,   2.8105
  58JH19940723,  AR18,   578,  1,     12,    110,2,19940726, 66.1660,  -2.6040, 3427,    499.9,   1.5673,  34.9225,2,  34.9221,2,    301.2,2,     6.47,2,    13.82,2,     0.01,2,     1.02,2,    4.610,2, -999.000,5,    0.485,2,    6.879,2,   -999.0,9,   -999.0,    1.54074,9, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,   1.5407
  58JH19940723,  AR18,   578,  1,     11,    104,2,19940726, 66.1660,  -2.6040, 3427,    800.0,  -0.0894,  34.8982,2,  34.8977,2,    295.9,2,     7.80,2,    14.24,2,     0.01,2,     1.10,3, -999.000,5, -999.000,5, -999.000,5, -999.000,5,   -999.0,9,   -999.0,  -0.123099,9, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,  -0.1231
  58JH19940723,  AR18,   578,  1,     10,    107,2,19940726, 66.1660,  -2.6040, 3427,    999.8,  -0.4449,  34.9029,2,  34.9022,2,    295.1,2,     8.81,2,    14.42,2,     0.00,2,     1.07,2,    1.683,2, -999.000,5,    0.049,2,    3.554,2,   -999.0,9,   -999.0,  -0.485886,9, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,  -0.4859
  58JH19940723,  AR18,   578,  1,      9,    111,2,19940726, 66.1660,  -2.6040, 3427,   1201.6,  -0.6320,  34.9072,2,  34.9065,2,    295.7,2,     9.78,2,    14.59,2,     0.00,2,     1.07,2,    1.166,2, -999.000,5,    0.000,2,    2.716,2,   -999.0,9,   -999.0,  -0.681601,9, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,  -0.6816
  58JH19940723,  AR18,   578,  1,      8,    112,2,19940726, 66.1660,  -2.6040, 3427,   1500.3,  -0.7923,  34.9101,2,  34.9093,2,    295.9,2,    10.90,2,    14.80,2,     0.01,2,     1.09,2,    0.604,2, -999.000,5,    0.000,2,    1.866,2,   -999.0,9,   -999.0,  -0.856289,9, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,  -0.8563
  58JH19940723,  AR18,   578,  1,      7,    100,2,19940726, 66.1660,  -2.6040, 3427,   1749.9,  -0.8576,  34.9102,2,  34.9093,2,    297.8,2,    11.52,2,    14.76,2,     0.00,2,     1.09,2,    0.432,2, -999.000,5,    0.000,2,    1.714,2,   -999.0,9,   -999.0,  -0.935189,9, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,  -0.9352
  58JH19940723,  AR18,   578,  1,      6,    106,2,19940726, 66.1660,  -2.6040, 3427,   2001.4,  -0.8961,  34.9097,2,  34.9089,2,    298.5,2,    12.02,2,    16.20,4,     0.01,2,     1.09,2,    0.212,2, -999.000,5,    0.000,2,    1.229,2,   -999.0,9,   -999.0,  -0.988649,9, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,  -0.9886
  58JH19940723,  AR18,   578,  1,      5,    113,2,19940726, 66.1660,  -2.6040, 3427,   2247.1,  -0.9090,  34.9092,2,  34.9085,2,    298.4,2,    12.42,2,    14.97,2,     0.01,2,     1.09,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,   -1.01748,9, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,  -1.0175
  58JH19940723,  AR18,   578,  1,      4,    105,2,19940726, 66.1660,  -2.6040, 3427,   2499.8,  -0.9027,  34.9091,2,  34.9091,2,    297.5,2,    12.78,2,    15.04,2,     0.01,2,     1.10,2,    0.300,2, -999.000,5,    0.000,2,    1.585,2,   -999.0,9,   -999.0,   -1.02894,9, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,  -1.0289
