EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2TMP,PCO2_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,C14ERR,DELC14_FLAG_W,THETA
,,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PPM,DEGC,,O/OO,,O/OO,O/OO,,DEGC
  58JH19920712,  AR18,   934,  1,      2,      2,2,19920715, 63.7330,  -5.9660, 2455,   1982.5,  -0.9050,  34.9144,2,  34.9130,2,    304.5,2,    11.23,2,    14.90,2,     0.02,2,     1.09,2,   2160.3,2,    322.5, -0.996221451,2,     1.07,2,   -999.0,   -999.0,9,  -0.9962
  58JH19920712,  AR18,   934,  1,      1,      1,2,19920715, 63.7330,  -5.9660, 2455,   2330.3,  -0.9010,  34.9142,2,  34.9120,2,    303.3,2,    11.55,2,    14.92,2,     0.01,2,     1.07,2,   2159.6,2,    322.8,  -1.01533449,2,     1.16,2,   -999.0,   -999.0,9,  -1.0153
  58JH19920712,  AR18,   935,  1,     12,     12,2,19920715, 63.4500,  -6.9160, 1382,      5.3,   9.4960,  35.1505,2,-999.0000,9,    305.7,2,     1.32,2,     3.73,2,     0.09,2,     0.34,2,   2050.1,2,    264.5,   9.49540946,2,  -999.00,9,   -999.0,   -999.0,9,   9.4954
  58JH19920712,  AR18,   935,  1,     11,     11,2,19920715, 63.4500,  -6.9160, 1382,     26.5,   9.4690,  35.1755,2,-999.0000,9,    296.8,2,     1.83,2,     5.61,2,     0.12,2,     0.43,2,   2080.7,2,    289.0,   9.46604815,2,  -999.00,9,   -999.0,   -999.0,9,   9.4660
  58JH19920712,  AR18,   935,  1,     10,     10,2,19920715, 63.4500,  -6.9160, 1382,     50.3,   8.1860,  35.1858,2,-999.0000,9,    279.8,2,     4.88,2,    12.62,2,     0.14,2,     0.85,2,   2128.0,2,    359.2,   8.18086987,2,  -999.00,9,   -999.0,   -999.0,9,   8.1809
  58JH19920712,  AR18,   935,  1,      9,      9,2,19920715, 63.4500,  -6.9160, 1382,    100.7,   7.7460,  35.2084,2,-999.0000,9,    277.6,2,     6.28,2,    13.86,2,     0.02,2,     0.91,2,   2136.8,2,    370.8,   7.73602661,2,  -999.00,9,   -999.0,   -999.0,9,   7.7360
  58JH19920712,  AR18,   935,  1,      8,      8,2,19920715, 63.4500,  -6.9160, 1382,    199.7,   6.9530,  35.1547,2,  35.1720,2,    275.8,2,     6.89,2,    14.35,2,     0.01,2,     0.95,2,   2139.3,2,    371.5,   6.93430035,2,  -999.00,9,   -999.0,   -999.0,9,   6.9343
  58JH19920712,  AR18,   935,  1,      7,      7,2,19920715, 63.4500,  -6.9160, 1382,    300.1,   5.0100,  34.9820,2,-999.0000,9,    291.2,2,     6.39,2,    13.84,2,     0.03,2,     0.93,2,   2137.2,2,    356.1,    4.9862669,2,  -999.00,9,   -999.0,   -999.0,9,   4.9863
  58JH19920712,  AR18,   935,  1,      6,      6,2,19920715, 63.4500,  -6.9160, 1382,    401.7,   2.2160,  34.8550,2,-999.0000,9,    304.6,2,     7.02,2,    13.61,2,     0.02,2,     0.94,2,   2146.7,2,    346.6,   2.19291749,2,  -999.00,9,   -999.0,   -999.0,9,   2.1929
  58JH19920712,  AR18,   935,  1,      5,      5,2,19920715, 63.4500,  -6.9160, 1382,    598.7,   0.1030,  34.8931,2,  34.9060,2,    304.3,2,     6.93,2,    13.68,2,     0.02,2,     0.95,2,   2155.9,2,    338.2, 0.0778962395,2,  -999.00,9,   -999.0,   -999.0,9,   0.0779
  58JH19920712,  AR18,   935,  1,      4,      4,2,19920715, 63.4500,  -6.9160, 1382,    794.5,  -0.3300,  34.9075,2,  34.9100,2,    303.8,2,     8.03,2,    13.97,2,     0.01,2,     0.98,2,   2157.6,2,    331.9, -0.361865789,2,  -999.00,9,   -999.0,   -999.0,9,  -0.3619
  58JH19920712,  AR18,   935,  1,      3,      3,2,19920715, 63.4500,  -6.9160, 1382,    989.2,  -0.5260,  34.9116,2,-999.0000,9,    301.5,2,     8.82,2,    14.11,2,     0.01,2,     0.98,2,   2149.8,2,    329.1, -0.565813801,2,  -999.00,9,   -999.0,   -999.0,9,  -0.5658
  58JH19920712,  AR18,   935,  1,      2,      2,2,19920715, 63.4500,  -6.9160, 1382,   1187.9,  -0.6790,  34.9151,2,-999.0000,9,    302.2,2,     9.68,2,    14.30,2,     0.01,2,     1.00,2,   2147.3,2,    326.9, -0.727451766,2,  -999.00,9,   -999.0,   -999.0,9,  -0.7275
  58JH19920712,  AR18,   935,  1,      1,      1,2,19920715, 63.4500,  -6.9160, 1382,   1288.2,  -0.7260,  34.9156,2,  34.9130,2,    303.3,2,    10.02,2,    14.50,2,     0.02,2,     1.00,2,   2156.5,2,    326.3, -0.779203414,2,  -999.00,9,   -999.0,   -999.0,9,  -0.7792
  58JH19920712,  AR18,   936,  1,     12,     12,3,19920715, 63.2040,  -7.8430,  749,      4.5,   9.6860,  35.1545,2,-999.0000,9,    305.8,2,     1.11,2,     4.44,2,     0.09,2,     0.36,2,   -999.0,9,   -999.0,         -999,9,  -999.00,9,   -999.0,   -999.0,9,   9.6855
  58JH19920712,  AR18,   936,  1,     11,     11,2,19920715, 63.2040,  -7.8430,  749,     25.2,   9.5760,  35.1564,2,-999.0000,9,    302.1,2,     1.27,2,     4.92,2,     0.09,2,     0.39,2,   -999.0,9,   -999.0,         -999,9,  -999.00,9,   -999.0,   -999.0,9,   9.5732
  58JH19920712,  AR18,   936,  1,     10,     10,2,19920715, 63.2040,  -7.8430,  749,     50.6,   8.8560,  35.1364,2,-999.0000,9,    276.9,2,     1.92,2,     6.40,2,     0.13,2,     0.54,2,   -999.0,9,   -999.0,         -999,9,  -999.00,9,   -999.0,   -999.0,9,   8.8506
  58JH19920712,  AR18,   936,  1,      9,      9,3,19920715, 63.2040,  -7.8430,  749,    101.0,   7.7060,  35.1845,2,-999.0000,9,    292.7,2,     6.18,2,    14.02,2,     0.03,2,     0.92,2,   -999.0,9,   -999.0,         -999,9,  -999.00,9,   -999.0,   -999.0,9,   7.6960
  58JH19920712,  AR18,   936,  1,      8,      8,2,19920715, 63.2040,  -7.8430,  749,    150.8,   7.5060,  35.1872,2,  35.1870,2,    278.0,2,     6.46,2,    14.18,2,     0.01,2,     0.94,2,   -999.0,9,   -999.0,         -999,9,  -999.00,9,   -999.0,   -999.0,9,   7.4913
  58JH19920712,  AR18,   936,  1,      7,      7,2,19920715, 63.2040,  -7.8430,  749,    200.9,   7.3760,  35.1718,2,-999.0000,9,    276.1,2,     6.58,2,    14.37,2,     0.01,2,     0.96,2,   -999.0,9,   -999.0,         -999,9,  -999.00,9,   -999.0,   -999.0,9,   7.3565
  58JH19920712,  AR18,   936,  1,      6,      6,2,19920715, 63.2040,  -7.8430,  749,    299.8,   5.5960,  35.0476,2,-999.0000,9,    283.9,2,     7.00,2,    14.31,2,     0.01,2,     1.01,2,   -999.0,9,   -999.0,         -999,9,  -999.00,9,   -999.0,   -999.0,9,   5.5709
  58JH19920712,  AR18,   936,  1,      5,      5,2,19920715, 63.2040,  -7.8430,  749,    399.0,   1.1660,  34.8604,2,-999.0000,9,    315.5,2,     6.44,2,    13.32,2,     0.01,2,     0.93,2,   -999.0,9,   -999.0,         -999,9,  -999.00,9,   -999.0,   -999.0,9,   1.1465
  58JH19920712,  AR18,   936,  1,      4,      4,3,19920715, 63.2040,  -7.8430,  749,    500.0,   0.1070,  34.8808,2,-999.0000,9,    305.9,2,     7.29,2,    13.87,2,     0.01,2,     0.97,2,   -999.0,9,   -999.0,         -999,9,  -999.00,9,   -999.0,   -999.0,9,   0.0865
  58JH19920712,  AR18,   936,  1,      3,      3,2,19920715, 63.2040,  -7.8430,  749,    598.6,  -0.3890,  34.9024,2,-999.0000,9,    299.7,2,     8.85,2,    14.26,2,     0.01,2,     0.99,2,   -999.0,9,   -999.0,         -999,9,  -999.00,9,   -999.0,   -999.0,9,  -0.4116
  58JH19920712,  AR18,   936,  1,      2,      2,2,19920715, 63.2040,  -7.8430,  749,    696.9,  -0.4440,  34.9086,2,-999.0000,9,    300.9,2,     9.19,2,    14.30,2,     0.01,2,     0.99,2,   -999.0,9,   -999.0,         -999,9,  -999.00,9,   -999.0,   -999.0,9,  -0.4707
  58JH19920712,  AR18,   936,  1,      1,      1,3,19920715, 63.2040,  -7.8430,  749,    730.6,  -0.4430,  34.9084,2,  34.9090,2,    302.3,2,     9.18,2,    14.36,2,     0.01,2,     0.99,2,   -999.0,9,   -999.0,         -999,9,  -999.00,9,   -999.0,   -999.0,9,  -0.4712
  58JH19920712,  AR18,   937,  1,     12,     12,3,19920715, 62.9190,  -8.7800,  435,      5.2,   9.9960,  35.2264,2,-999.0000,9,    291.4,2,     2.14,2,     6.95,2,     0.14,2,     0.44,2,   2079.1,2,    310.6,   9.99540085,2,     1.43,2,   -999.0,   -999.0,9,   9.9954
  58JH19920712,  AR18,   937,  1,     11,     11,2,19920715, 62.9190,  -8.7800,  435,     25.6,   9.9360,  35.2198,2,-999.0000,9,    290.4,2,     2.13,2,     6.98,2,     0.13,2,     0.44,2,   -999.0,9,   -999.0,         -999,9,  -999.00,9,   -999.0,   -999.0,9,   9.9331
