EXPOCODE,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,SOMSAL,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,AMMONI,AMMONI_FLAG_W,TCARBN,TCARBN_FLAG_W,FCO2,FCO2_TMP,FCO2_FLAG_W,TRITUM,TRITER,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHER,DELHE3_FLAG_W,C14_BIO,C14_BIO_FLAG_W,POC,POC_FLAG_W,PON,PON_FLAG_W,CHLORA,CHLORA_FLAG_W,PHAEO,PHAEO_FLAG_W,BACT,BACT_FLAG_W,CTDNO,BNLID,THETA
,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,PSS-78,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UATM,DEGC,,TU,TU,,NMOL/KG,,PERCNT,PERCNT,,UKNOWN,,ug/kg,,ug/kg,,UG/L,,UG/L,,CELLS/ML,,,,DEGC
  32L919930718,     2,  1,      7,2,19930723, 80.4520, -13.2220,  294,     24.0,  -1.5810,  32.2960,2,-999.0000,9,  32.1470,    364.3,2,    372.9,2,    12.80,2,     3.96,2,  -999.00,9,     1.00,2,      0.022,2,   2108.7,2,    694.6,      15.5,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,      0.1,2,      4.704,2,0.360000014,2,     0.28,2,     0.07,2,    79800,2,  6,   3031,  -1.5814
  32L919930718,     2,  1,      6,2,19930723, 80.4520, -13.2220,  294,     37.0,  -1.6900,  32.3430,2,-999.0000,9,  32.2740,    362.0,2,    370.3,2,    12.76,2,     4.05,2,  -999.00,9,     1.01,2,      0.022,2,   2111.8,2,    700.3,      15.5,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,      0.0,2, 2.77699995,2,0.119999997,2,     0.13,2,     0.04,2,    66100,2,  6,   3030,  -1.6906
  32L919930718,     2,  1,      5,2,19930723, 80.4520, -13.2220,  294,     50.0,  -1.7390,  32.3770,2,-999.0000,9,  32.2760,    360.4,2,    365.7,2,    12.90,2,     4.56,2,  -999.00,9,     1.01,2,0.012000002,2,   2117.7,2,    707.6,      15.5,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,   -999.0,9,  2.2579999,2,0.086000003,2,     0.01,2,     0.01,2,    33300,2,  6,   3029,  -1.7398
  32L919930718,     2,  1,      4,2,19930723, 80.4520, -13.2220,  294,    100.0,  -1.5700,  32.9440,2,  33.0410,2,  32.9850,    330.3,2,    336.3,2,    14.17,2,     7.41,2,  -999.00,9,     0.99,2,0.031999998,2,   2135.4,2,    755.8,      15.5,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,   -999.0,9, 3.20700002,2,0.071999997,2,     0.01,2,     0.01,2,    35300,2,  6,   3028,  -1.5719
  32L919930718,     2,  1,      3,2,19930723, 80.4520, -13.2220,  294,    151.0,  -0.4480,  34.2960,2,-999.0000,9,  34.2170,    288.7,2,    295.7,2,    12.92,2,    12.32,2,  -999.00,9,     0.93,2,0.051000003,2,   2137.9,2,    689.8,      15.5,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,   -999.0,9, 2.05999994,2,0.141000003,2,     0.01,2,     0.01,2,    47900,2,  6,   3027,  -0.4528
  32L919930718,     2,  1,      2,2,19930723, 80.4520, -13.2220,  294,    200.0,   0.3580,  34.6330,2,  34.6420,2,  34.4420,    281.7,2,    288.5,2,    12.38,2,    12.90,2,  -999.00,9,     0.94,2,      0.022,2,   2147.7,2,    677.2,      15.5,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,   -999.0,9, 4.74100018,2,0.270999998,2,     0.01,2,     0.01,2,    43400,2,  6,   3026,   0.3500
  32L919930718,     2,  1,      1,2,19930723, 80.4520, -13.2220,  294,    277.0,   0.5980,  34.7320,2,-999.0000,9,  34.5080,    278.6,2,    282.9,2,    12.99,2,    13.12,2,  -999.00,9,     0.96,2,     -0.007,2,   2153.1,2,    684.5,      15.5,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,   -999.0,9, 2.39700007,2,      0.012,2,  -999.00,9,  -999.00,9,    60000,2,  6,   3025,   0.5861
  32L919930718,     2,  2,     12,2,19930723, 80.4520, -13.2220,  294,      2.0,   2.2000,  30.5520,2,-999.0000,9,-999.0000,    373.4,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,       -999,9,   -999.0,9,   -999.0,      -999,9, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,   -999.0,9,       -999,9,       -999,9,  -999.00,9,  -999.00,9,     -999,9,  7,   3048,   2.1999
  32L919930718,     2,  2,     10,2,19930723, 80.4520, -13.2220,  294,     12.0,  -1.2020,  32.2320,2,-999.0000,9,-999.0000,    378.0,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,       -999,9,   -999.0,9,   -999.0,      -999,9, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,   -999.0,9,       -999,9,       -999,9,  -999.00,9,  -999.00,9,     -999,9,  7,   3046,  -1.2022
  32L919930718,     2,  2,     11,2,19930723, 80.4520, -13.2220,  294,     12.0,  -1.1940,  32.2380,2,-999.0000,9,  32.1060,    373.5,2,    380.0,2,    12.14,2,     2.77,2,  -999.00,9,     0.92,2,0.028999999,2,   2100.1,2,    672.0,      15.5,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,   -999.0,9, 16.9459992,2, 1.17799997,2,     0.97,2,     0.11,2,     -999,9,  7,   3047,  -1.1942
  32L919930718,     2,  2,      9,2,19930723, 80.4520, -13.2220,  294,     15.0,  -1.4110,  32.2500,2,-999.0000,9,-999.0000,    367.9,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,       -999,9,   -999.0,9,   -999.0,      -999,9, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,   -999.0,9,       -999,9,       -999,9,  -999.00,9,  -999.00,9,     -999,9,  7,   3045,  -1.4113
