EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PH_SWS,PH_TEMP,PH_SWS_FLAG_W,THETA
,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,PPM,,,DEGC,,DEGC
  33LK19960415,  AR04,     5,  1,     11,2,19960416,  5.9183, -51.3643,   25,     98.7,  23.1488,  36.3858,2,  36.4034,2,    188.5,2,    182.6,2,     2.23,2,     3.53,2,     0.16,2,     0.27,2,    1.736,2,    0.862,2,     -9.0,9,     -9.0,9,-999.0000,  -999.00,9,  23.1284
  33LK19960415,  AR04,     5,  1,     10,2,19960416,  5.9183, -51.3643,   25,    200.0,  12.0257,  35.1660,2,  35.0804,2,    141.8,2,    140.2,2,    11.32,2,    21.84,2,     0.00,2,     1.39,2,    1.182,2,    0.484,2,     -9.0,9,     -9.0,9,-999.0000,  -999.00,9,  11.9995
  33LK19960415,  AR04,     5,  1,      9,2,19960416,  5.9183, -51.3643,   25,    395.8,   7.4035,  34.6867,2,  34.6853,2,    124.1,2,    126.0,2,    20.26,2,    30.84,2,     0.00,2,     1.98,2,    0.452,2,    0.127,2,     -9.0,9,     -9.0,9,-999.0000,  -999.00,9,   7.3649
  33LK19960415,  AR04,     5,  1,      8,2,19960416,  5.9183, -51.3643,   25,    596.5,   6.4438,  34.6345,2,  34.6281,2,    125.4,2,    124.6,2,    24.08,2,    32.80,2,     0.00,2,     2.15,2,    0.154,2,    0.020,2,     -9.0,9,     -9.0,9,-999.0000,  -999.00,9,   6.3891
  33LK19960415,  AR04,     5,  1,      7,2,19960416,  5.9183, -51.3643,   25,    787.9,   5.1341,  34.6225,2,  34.6104,2,    141.0,2,    138.2,2,    29.77,2,    32.82,2,     0.00,2,     2.21,2,    0.027,2,    0.008,2,     -9.0,9,     -9.0,9,-999.0000,  -999.00,9,   5.0687
  33LK19960415,  AR04,     5,  1,      5,2,19960416,  5.9183, -51.3643,   25,    897.1,   4.9437,  34.6815,2,  34.6693,2,    149.0,2,    145.3,2,    29.52,2,    31.59,2,     0.00,2,     2.16,2,   -9.000,9,   -9.000,9,     -9.0,9,     -9.0,9,-999.0000,  -999.00,9,   4.8698
  33LK19960415,  AR04,     5,  1,      6,2,19960416,  5.9183, -51.3643,   25,    898.2,   4.9446,  34.6790,2,  34.6704,2,    148.9,2,    145.4,2,    29.50,2,    31.47,2,     0.00,2,     2.16,2,    0.021,2,    0.006,2,     -9.0,9,     -9.0,9,-999.0000,  -999.00,9,   4.8706
  33LK19960415,  AR04,     5,  1,      4,2,19960416,  5.9183, -51.3643,   25,    996.6,   4.8760,  34.7784,2,  34.7712,2,    162.1,2,    160.6,2,    27.42,2,    29.09,2,     0.00,2,     1.98,2,    0.024,2,    0.011,2,     -9.0,9,     -9.0,9,-999.0000,  -999.00,9,   4.7935
  33LK19960415,  AR04,     5,  1,      3,2,19960416,  5.9183, -51.3643,   25,   1098.0,   4.8421,  34.8614,2,  34.8547,2,    180.0,2,    177.0,2,    24.52,2,    26.23,2,     0.00,2,     1.80,2,    0.051,2,    0.023,2,     -9.0,9,     -9.0,9,-999.0000,  -999.00,9,   4.7505
  33LK19960415,  AR04,     5,  1,      2,2,19960416,  5.9183, -51.3643,   25,   1290.2,   4.7589,  34.9833,2,  34.9821,2,    217.3,2,    217.6,2,    18.06,2,    20.71,2,     0.00,2,     1.40,2,    0.268,2,    0.122,2,     -9.0,9,     -9.0,9,-999.0000,  -999.00,9,   4.6501
  33LK19960415,  AR04,     5,  1,      1,2,19960416,  5.9183, -51.3643,   25,   1427.9,   4.6694,  35.0055,2,  35.0037,2,    230.9,2,    229.9,2,    16.41,2,    19.30,2,     0.00,2,     1.30,2,    0.329,2,    0.144,2,     -9.0,9,     -9.0,9,-999.0000,  -999.00,9,   4.5484
  33LK19960415,  AR04,     6,  1,     17,9,19960417,  5.9722, -51.2927,   25,     -9.0,  -9.0000,  -9.0000,9,  -9.0000,9,     -9.0,9,     -9.0,9,    -9.00,9,    -9.00,9,    -9.00,9,    -9.00,9,   -9.000,9,   -9.000,9,     -9.0,9,     -9.0,9,-999.0000,  -999.00,9,  -9.0000
  33LK19960415,  AR04,     6,  1,     18,9,19960417,  5.9722, -51.2927,   25,     -9.0,  -9.0000,  -9.0000,9,  -9.0000,9,     -9.0,9,     -9.0,9,    -9.00,9,    -9.00,9,    -9.00,9,    -9.00,9,   -9.000,9,   -9.000,9,     -9.0,9,     -9.0,9,-999.0000,  -999.00,9,  -9.0000
  33LK19960415,  AR04,     6,  1,     16,2,19960417,  5.9722, -51.2927,   25,     72.5,  27.9571,  36.2846,2,  36.2804,2,    191.4,2,    196.0,2,     1.67,2,     0.51,2,     0.00,2,     0.00,2,   -9.000,9,   -9.000,9,   2037.3,2,    378.0,2,   8.0865,    25.00,2,  27.9400
