EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,RA-8/6,RA-8/6E,RA-8/6_FLAG_W,THETA
,,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,UATM,,DEGC,,,,DEGC
  316N19831007, A13.5,2,1,35,2,19831008,0,4.36,-3.928,2815,502,7.13,34.66,2,94,2,22.7,2,35.9,2,-999,9,2.22,2,0.008,2,0.007,2,-999,9,-999,9,-999,9,-999,-999,-999,9,7.0817
  316N19831007, A13.5,2,1,36,2,19831008,0,4.36,-3.928,2815,628,6.022,34.578,2,109,2,26.6,2,36.7,2,-999,9,2.31,2,-0.01,2,-0.006,2,-999,9,-999,9,-999,9,-999,-999,-999,9,5.9664
  316N19831007, A13.5,2,1,37,2,19831008,0,4.36,-3.928,2815,751,5.253,34.552,2,123,2,30.4,2,36.4,2,-999,9,2.33,2,-999,9,-0.004,2,2217.1,2,2292,2,1272,2,20,-999,-999,9,5.1903
  316N19831007, A13.5,2,1,38,2,19831008,0,4.36,-3.928,2815,900,4.731,34.595,2,138,2,31.9,2,34.7,2,-999,9,2.24,2,-999,9,-0.009,2,-999,9,-999,9,-999,9,-999,-999,-999,9,4.6584
  316N19831007, A13.5,2,1,39,2,19831008,0,4.36,-3.928,2815,1101,4.471,34.725,2,162,2,29.4,2,31.2,2,-999,9,2.01,2,-999,9,-0.005,2,-999,9,-999,9,-999,9,-999,-999,-999,9,4.3825
  316N19831007, A13.5,2,1,40,2,19831008,0,4.36,-3.928,2815,1303,4.289,34.871,2,195,2,25,2,26.4,2,-999,9,1.71,2,-999,9,0,2,-999,9,-999,9,-999,9,-999,-999,-999,9,4.1838
  316N19831007, A13.5,2,1,40,2,19831008,0,4.36,-3.928,2815,1303,4.289,34.871,2,195,2,25,2,26.4,2,-999,9,1.71,2,-999,9,-0.011,2,-999,9,-999,9,-999,9,-999,-999,-999,9,4.1838
  316N19831007, A13.5,2,1,41,2,19831008,0,4.36,-3.928,2815,1554,4.01,34.944,2,222,2,22.7,2,23,2,-999,9,1.5,2,-999,9,-0.005,2,-999,9,-999,9,-999,9,-999,-999,-999,9,3.8848
  316N19831007, A13.5,2,1,41,2,19831008,0,4.36,-3.928,2815,1554,4.01,34.944,2,222,2,22.7,2,23,2,-999,9,1.5,2,-999,9,-0.009,2,-999,9,-999,9,-999,9,-999,-999,-999,9,3.8848
  316N19831007, A13.5,2,1,42,2,19831008,0,4.36,-3.928,2815,1757,3.727,34.959,2,237,2,22.7,2,21.4,2,-999,9,1.39,2,-999,9,-0.011,2,-999,9,-999,9,-999,9,-999,-999,-999,9,3.5865
  316N19831007, A13.5,2,1,42,2,19831008,0,4.36,-3.928,2815,1757,3.727,34.959,2,237,2,22.7,2,21.4,2,-999,9,1.39,2,-999,9,0.008,2,-999,9,-999,9,-999,9,-999,-999,-999,9,3.5865
