BOTTLE,20140922CDIACAK
#code : jjward hyd_to_exchange.pl
#original files copied from HTML directory: Aug. 19,2002
#original HYD file: a06hy.txt   Mon Aug 19 12:58:19 2002
#original SUM file: a06su.txt   Mon Aug 19 13:04:08 2002
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,CHLA,CHLA_FLAG_W,OXYNIT,OXYNIT_FLAG_W,ARGON,ARGON_FLAG_W,CTDRAW,PHAEO,PHAEO_FLAG_W,THETA,METHAN,METHAN_FLAG_W,AZOTE,AZOTE_FLAG_W
,,,,,,,,,,,,DBAR,DEG C,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,%,,UMOL/KG,,UATM,,,,DEG C,UG/L,,NMOL/KG,,UMOL/KG,,DBAR,UG/L,,DEG C,NMOL/KG,,UMOL/KG,
 35A3CITHER1_2,   A06,122,1,3,3,2,19930214,19,5.8058,-51.3023,816,592.5,6.365,34.622,2,34.62,2,137,2,136.7,2,23.16,2,33.21,2,0,2,2.12,2,0.168,2,0.082,2,0.06,2,1.75,1,2.04,2,2218.1,2,-999,9,7.5975,2,25,-999,9,-999,9,14.98,2,600,-999,9,6.3111,-999,9,540.9,2
 35A3CITHER1_2,   A06,122,1,2,2,2,19930214,19,5.8058,-51.3023,816,692.4,5.896,34.612,2,34.613,2,137.4,2,134.9,2,25.58,2,33.81,2,0,2,2.17,2,0.107,2,0.049,2,-999,9,-999,9,-999,9,2236.3,2,-999,9,7.5863,2,25,-999,9,-999,9,14.88,2,700,-999,9,5.835,-999,9,543.5,2
 35A3CITHER1_2,   A06,122,1,1,1,2,19930214,19,5.8058,-51.3023,816,765.8,5.399,34.624,2,34.626,2,138.3,2,141.1,2,27.54,2,33.88,2,0,2,2.2,2,0.055,2,0.025,2,0.02,2,1.77,1,2.49,2,2232.6,2,-999,9,7.5886,2,25,-999,9,-999,9,14.89,2,774,-999,9,5.334,-999,9,545.6,2
 35A3CITHER1_2,   A06,123,1,21,21,2,19930214,326,5.8255,-51.2517,1275,1,26.727,36.327,2,36.33,2,202.7,2,202.1,2,1.74,2,0.09,2,0,2,0.06,2,1.814,2,0.964,2,-999,9,-999,9,-999,9,-999,9,412.6,2,-999,9,-999,0.1,2,-999,9,-999,9,6,0.05,2,26.7268,-999,9,-999,9
 35A3CITHER1_2,   A06,123,1,20,20,2,19930214,326,5.8255,-51.2517,1275,43.4,26.738,36.328,2,36.329,2,203.7,2,202.3,2,1.74,2,0.09,2,0,2,0.05,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,49,-999,9,26.7281,-999,9,-999,9
 35A3CITHER1_2,   A06,123,1,19,19,2,19930214,326,5.8255,-51.2517,1275,69.1,26.737,36.332,2,36.337,3,203.6,2,202.3,2,1.72,2,0.1,2,0,2,0.05,2,1.81,2,0.969,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,95,-999,9,26.7212,-999,9,-999,9
 35A3CITHER1_2,   A06,123,1,18,18,2,19930214,326,5.8255,-51.2517,1275,93.4,26.505,36.407,2,36.406,2,204.1,2,199.3,2,1.78,2,0.31,2,0.03,2,0.07,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,100,-999,9,26.4838,-999,9,-999,9
 35A3CITHER1_2,   A06,123,1,17,17,2,19930214,326,5.8255,-51.2517,1275,93.5,26.505,36.408,2,36.41,2,203.8,2,198.8,2,1.8,2,0.32,2,0.04,2,0.08,2,1.819,2,0.974,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,100,-999,9,26.4837,-999,9,-999,9
 35A3CITHER1_2,   A06,123,1,16,16,2,19930214,326,5.8255,-51.2517,1275,143.3,18.368,36.035,2,36.01,3,181.4,2,170.3,3,4.47,2,9.23,2,0.01,2,0.64,2,1.781,2,0.917,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,150,-999,9,18.3429,-999,9,-999,9
 35A3CITHER1_2,   A06,123,1,15,15,2,19930214,326,5.8255,-51.2517,1275,193.7,13.986,35.654,2,-999,9,141.2,2,128.3,3,8.11,2,19.57,2,0,2,1.16,2,1.223,2,0.618,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,200,-999,9,13.9579,-999,9,-999,9
